// Monster Database
//
// Structure of Database :
// ID,Sprite_Name,kROName,iROName,LV,HP,SP,EXP,JEXP,Range1,ATK1,ATK2,DEF,MDEF,STR,AGI,VIT,INT,DEX,LUK,Range2,Range3,Scale,Race,Element,Mode,Speed,aDelay,aMotion,dMotion,MEXP,MVP1id,MVP1per,MVP2id,MVP2per,MVP3id,MVP3per,Drop1id,Drop1per,Drop2id,Drop2per,Drop3id,Drop3per,Drop4id,Drop4per,Drop5id,Drop5per,Drop6id,Drop6per,Drop7id,Drop7per,Drop8id,Drop8per,Drop9id,Drop9per,DropCardid,DropCardper
// Note: Keep the Sprite_Name field as it is in the game client.

1008,PUPA,Pupa,Pupa,4,132,1,36,27,1,1,3,24,2,11,1,3,3,8,6,10,12,0,4,22,0x2000000,1000,1001,1,1,0,0,0,0,0,0,0,1010,80,915,5500,938,600,2102,2,935,1000,938,600,1002,200,0,0,0,0,4003,1
1047,PECOPECO_EGG,Peco Peco Egg,Peco Peco Egg,7,150,1,54,41,0,1,0,16,5,4,10,22,8,10,5,10,12,0,0,60,0x0,1000,1001,1,1,0,0,0,0,0,0,0,1010,250,935,1500,2102,2,507,400,507,400,713,1800,736,10,0,0,0,0,4007,1
1048,THIEF_BUG_EGG,Thief Bug Egg,Thief Bug Egg,20,688,1,126,143,0,1,1,64,10,10,1,50,0,3,15,10,12,0,4,27,0x2000000,1000,701,1,1,0,0,0,0,0,0,0,1010,300,915,5000,2102,2,938,600,716,100,737,10,1002,250,0,0,0,0,4012,1
1097,ANT_EGG,Ant Egg,Ant Egg,28,1060,1,180,203,0,1,1,68,45,5,1,65,5,10,30,10,12,0,0,60,0x0,1000,1001,1,1,0,0,0,0,0,0,0,1010,320,935,2000,909,2000,938,650,713,2000,1002,200,0,0,0,0,0,0,4013,1
1122,GOBLIN_1,Goblin Dagger,Goblin,48,1058,1,369,414,1,87,34,56,5,37,54,25,20,36,10,10,12,1,7,24,0x3695,100,1120,620,240,0,0,0,0,0,0,0,998,270,911,9000,756,43,2297,3,1211,10,2104,5,507,1800,0,0,0,0,4060,1
1123,GOBLIN_2,Goblin Flail,Goblin,44,931,1,333,374,1,94,28,52,5,33,16,24,15,58,10,10,12,1,7,23,0x3095,150,1320,620,240,0,0,0,0,0,0,0,998,250,911,9000,5010,3,1511,10,2146,5,507,1550,2297,3,0,0,0,0,4060,1
1124,GOBLIN_3,Goblin Axe,Goblin,44,930,1,333,374,1,88,33,47,5,30,16,24,15,17,10,10,12,1,7,25,0x308D,250,1624,624,240,0,0,0,0,0,0,0,998,230,911,9000,2275,3,5088,15,2104,1,507,1550,508,220,0,0,0,0,4060,1
1125,GOBLIN_4,Goblin Hammer,Goblin,49,1494,1,396,446,1,72,22,70,3,31,27,46,15,34,10,10,12,1,7,22,0x308D,200,1624,624,240,0,0,0,0,0,0,0,993,100,998,170,5087,15,2263,3,1508,10,2146,5,507,1500,0,0,0,0,4060,1
1126,GOBLIN_5,Goblin Mace,Goblin,56,2342,1,486,548,1,167,31,64,5,51,37,22,15,38,10,10,12,1,7,21,0x308D,300,3074,1874,480,0,0,0,0,0,0,0,998,150,911,9000,1605,15,2104,1,5089,15,507,1500,508,220,0,0,0,0,4060,1
1133,KOBOLD_1,Kobold Axe,Kobold,107,10483,1,2274,1706,1,701,87,103,25,109,76,61,53,82,30,10,12,1,7,44,0x308D,150,1028,528,360,0,0,0,0,0,0,0,999,100,1034,5335,912,700,757,25,1220,2,2104,5,0,0,0,0,0,0,4091,1
1134,KOBOLD_2,Kobold Hammer,,102,9152,1,1944,1458,1,477,62,117,59,96,61,55,48,79,20,10,12,1,7,45,0x308D,200,1528,528,360,0,0,0,0,0,0,0,999,100,1034,5335,912,200,2104,3,508,100,2101,100,0,0,0,0,0,0,4091,1
1135,KOBOLD_3,Kobold Mace,Kobold,101,9078,1,1827,1371,1,468,64,109,48,103,64,59,42,67,20,10,12,1,7,43,0x308D,300,1228,528,360,0,0,0,0,0,0,0,990,35,999,100,1034,5335,912,200,0,0,2104,3,508,100,0,0,0,0,4091,1
1009,CONDOR,Condor,Condor,6,72,1,54,41,1,12,3,24,0,12,5,5,5,12,5,10,12,1,2,24,0x1081,150,1148,648,480,0,0,0,0,0,0,0,917,9000,1702,150,715,80,1750,5500,517,400,916,2000,582,600,0,0,0,0,4015,1
